claim_id,do_number,carrier,carrier_reference_id,carrier_reference_type,carrier_vendor_code,carrier_scac_code,claim_type,loss_track,loss_tack_code,origin_wh,destination_wh,claim_date,filed_date,claim_amount,approved_amount,claim_status,recovery_rate,days_open,owner_team,last_follow_up,follow_up_status,time_bar_flag,claim_age_bucket,at_risk_amount
CLM-0001,DO-459001,RXO,86654FSDVZLV46173069575,Carrier Claim Number,RXOV,RXOL,Shortage Partial,Loading Port,3,S363,S250,11/24/2025,1/29/2026,92478.00 ,925.00 ,Pending,0.01 ,82,SEA,3/9/2026,No Follow-Up Needed,Time-Barred,61–120,91553.00 
CLM-0002,DO-459002,HUBG,2258557632,Customer PO Number,HBGV,HBGX,Shortage Full,X-Dock~Warehouse,16,S360,S365,8/18/2025,10/1/2025,133829.00 ,,Denied,,202,SEA,11/6/2025,Overdue,,120+,66914.50 
CLM-0003,DO-459003,RXO,35831FSDVZLV44638200579,Carrier Claim Number,RXOV,RXOL,Theft,Destination Port,5,S250,S361,3/14/2026,4/1/2026,38848.00 ,15151.00 ,Pending,0.39 ,20,SEA,3/24/2026,Overdue,,0–30,11848.50 
CLM-0004,DO-459004,XPO,84959FSDVZLV44396790551,Carrier Claim Number,XPOV,XPOL,WH shortage,Warehouse(Soure WH),7,S250,S362,11/4/2025,12/14/2025,4670.00 ,4623.00 ,Paid,0.99 ,128,SEA,1/27/2026,No Follow-Up Needed,,120+,0.00 
CLM-0005,DO-459005,FEDEX,1Z4446933460705285,Tracking Number,FDXV,FXDM,Damage,Customer,10,S363,S275,2/16/2026,4/2/2026,150394.00 ,,Open,,19,SEA,3/24/2026,Overdue,,0–30,75197.00 
CLM-0008,DO-459006,RXO,49871FSDVZLV46966845701,Carrier Claim Number,RXOV,RXOL,Damage,Warehouse(Soure WH),7,S275,S360,5/8/2025,7/6/2025,48446.00 ,45539.00 ,Paid,0.94 ,289,SEA,7/28/2025,No Follow-Up Needed,,120+,0.00 
CLM-0009,DO-459007,BNSF,BNSF-2026-657040,Carrier Claim Number,BNFV,BNSF,Shortage Partial,TL Center,19,S363,S360,8/1/2025,8/27/2025,166773.00 ,,Denied,,237,SEA,3/15/2026,Overdue,,120+,83386.50 
CLM-0010,DO-459008,FEDEX,1Z5830104233391617,Tracking Number,FDXV,FXDM,Shortage Full,Warehouse~Warehouse,18,S363,S365,1/9/2026,3/1/2026,133822.00 ,5353.00 ,Pending,0.04 ,51,SEA,3/11/2026,Overdue,,31–60,64234.50 
CLM-0011,DO-459009,HUBG,2338921955,Customer PO Number,HBGV,HBGX,Shortage Partial,TL Center~WH,20,S363,S362,12/21/2025,1/30/2026,65518.00 ,22931.00 ,Pending,0.35 ,81,SEA,4/1/2026,Overdue,,61–120,21293.50 
CLM-0012,DO-459010,RXO,49380FSDVZLV44120474966,Carrier Claim Number,RXOV,RXOL,Shortage Full,X-Dock~Customer,14,S365,S365,5/3/2025,6/8/2025,129551.00 ,29797.00 ,Pending,0.23 ,317,SDSA,7/21/2025,Overdue,,120+,49877.00 
CLM-0013,DO-459011,HUBG,2133742186,Customer PO Number,HBGV,HBGX,Shortage Full,Plant~Loading Port,2,S365,S364,2/3/2026,2/28/2026,170588.00 ,107470.00 ,Paid,0.63 ,52,SEA,3/3/2026,No Follow-Up Needed,,31–60,0.00 
